index,comment,n_star,date_time,label,sentiment_label,label_id
0,mới mua máy này tại thegioididong thốt nốt cảm_thấy tốt pin trâu chụp ảnh đẹp loa nghe to bắt wifi khỏe sóng tốt_định giá_thành vừa với túi_tiền nhân_viên tư_vấn nhiệt_tình,5,2 tuần trước,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,positive,1
1,pin kém còn lại miễn_chê mua 832019 tình_trạng pin còn 88 có ai giống tôi không,5,14/09/2019,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};,positive,1
2,sao lúc gọi điện_thoại màn_hình bị chấm nhỏ nháy gần camera trước vậylúc có lúc không,3,17/08/2020,{FEATURES#Negative};,neutral,2
3,mọi người cập_nhật phần_mềm lại nó sẽ bớt tốn pin mình đã thử rồi mọi thứ cũng tốt nhưng vân_tay không nhạy,3,29/02/2020,{FEATURES#Negative};{BATTERY#Neutral};{GENERAL#Neutral};,neutral,2
4,mới mua xài được 1 tháng thấy pin rất trâu xài bao_mượt nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu không biết sao nó không nghe được nữa mất rút tai nghe_ra cắm vào lại thì nó mới nghe được,5,4/6/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{SER&ACC#Negative};,positive,1
5,xài tốt rất mượt_pin trâu nếu các bạn để độ sáng vừa đủ nhân_viên nhiệt_tình vui_vẻ nói_chung là tầm_giá này thì máy này là quá tốt rồi,5,20/06/2019,{BATTERY#Neutral};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,positive,1
6,mình mới xài được 7 tháng xuống 7 pin chả hiểu máy mới kiểu gì nữa dùng cơ_bản lướt_web cơ_bản game không chơi,1,1 tuần trước,{BATTERY#Negative};{OTHERS};,negative,0
7,hôm_qua ngày 2362020 e ra thế_giới di_động mua chiếc điện_thoại galaxy a51 lúc đầu bên cửa_hàng báo_giá 779000 đ được tặng phiếu mua hàng 250 k lúc thanh_toán thì nhân_viên lại thanh_toán 7990000 đ không có phiếu mua hàng đi 20 km xuống mua thoai tối về đến nhà nhân_viên mới gọi đến có xin_lỗi vì sai_xót và bảo mình xuống đó nhận phiếu mua hàng 250 k kém quá đúng là làm mất thời_gian,2,23/06/2020,{SER&ACC#Negative};{OTHERS};,negative,0
8,tại_sao điện_thoại mới mà sạc nó nóng_máy lên quá trời t đã tắt tất_cả mạng ứng_dung game và cấm không cho chạy nền cũng không vừa sạc vừa dùng mà điện_thoại nóng quá trời sạc 3 tiếng mới đầy,2,23/12/2019,{BATTERY#Negative};{OTHERS};,negative,0
9,lúc đầu_định mua samsung vào shop nhân_viên tư_vấn oppo a9 thất_vọng thực_sự khi dùng oppo màn_hình hiển_thị tối_om máy chơi game giật_lang khó_chịu vl_sạc thì lâu không bao_giờ dungg oppo nữa,1,31/05/2020,{SCREEN#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{SER&ACC#Negative};{OTHERS};,negative,0
10,mọi thứ đều ngon trong tầm_giá lần đầu xài xiaomi cảm_thấy rất hài_lòng về chất_lượng,5,30/05/2020,{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,positive,1
11,khá tốt trong tầm giá camera đẹp sạc nhanh màn_hình đẹp âm_thanh hay rất phù_hợp với người thích chơi game tuy_nhiên màn_hình hơi tối so với ngoài_trời,5,3 tuần trước,{SCREEN#Neutral};{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};,positive,1
12,đi_thoại mượt chơi game ngon_âm báo thức bật maxloa luôn nghe vẫn nhỏ nhân_viên phục_vụ nhiệt_tình,4,7/6/2019,{FEATURES#Negative};{PERFORMANCE#Positive};{SER&ACC#Positive};,positive,1
13,máy rất tốt trong tầm giá pin trâu màn_hình đẹp to camera đẹp chơi các tựa game ở cấu_hình vừa_phải thì tốt chỉ có đều là cảm_biến vân tay quang_học trong màn_hình hơi chậm không có hỗ_trợ chụp đêm nên chụp trong đêm hơi xấu còn nhân_viên phục_vụ nhiệt_tình và chu_đáo,5,16/07/2020,{SCREEN#Positive};{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,positive,1
14,mình mua được 1 tuần máy đang phát trực_tiếp tự_nhiên tắt nguồn bắt sống wifi quá yêu hối_hận,1,6 ngày trước,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,negative,0
15,sản_phẩm quá tuyệt_vời iphone 7 plus camera đẹp chơi game thì không sợ 1 game nào nặng cả rất mượt nhưng game nào có đồ họa cao_chơi sẽ bị sụt_pin rất nhanh máy nóng nhưng không sao iphone 7 plus tuyệt_vời lắm rồi,5,18/04/2018,{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Neutral};{GENERAL#Positive};,positive,1
16,dùng tốt mượt không nóng điện_thoại có 5 6 triệu mà mở max cấu_hình_ròi kêu nóng nhân_viên nhiệt_tình,5,7/12/2019,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,positive,1
17,mới mua được 1 ngày ck dùng j6 còn mình dùng con này wifi ck m lúc_nào cũng 3 vạch mà điện_thoại này thì lúc 2 vạch lúc 1 vạch lúc đứng luôn không hieur vì sao nữa dùng thấy bực_mình,3,18/11/2019,{FEATURES#Negative};{OTHERS};,neutral,2
18,dùng thì cứ đơ máy bấm mãi mới khởi_động lại song nóng ran lên kém không buồn nói kêu bảo_hành phần_mềm chọn đời mà dùng chưa được đã hỏng,1,5 ngày trước,{PERFORMANCE#Negative};{OTHERS};,negative,0
19,lỗi phầm mềm sạc_pin không vào đem ra bảo_trì thì cài lại máy vẫn không hết lỗi mua quả máy 4 tr100k ram 3 gb về để chơi pubg giật vãi chưởng,1,17/03/2020,{BATTERY#Negative};{PERFORMANCE#Negative};{PRICE#Neutral};,negative,0
20,máy dùng tốt với tầm_giá khá nhanh_nhạy pin trâu lần đâu_tiên mua máy chưa tới 2 tr mà ưng ghê luôn á_mọi người nên mua,5,30/03/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,positive,1
21,sạc pin 100 rồi để không 10 h mà không hao nào mà s mọi người cứ kêu_hao pin nhanh là s nhỉ mình thasy_pin rất trâu lun,5,1/7/2020,{BATTERY#Positive};{OTHERS};,positive,1
22,cho mình hỏi tắt quảng_cáo trên điện_thoại ạ mới mua về vài hôm mà nó cứ tụ_phát quảng_cáo hoài ngày khi mình đã khóa màn_hình cũng chạy quảng_cáo mong được phản_hồi,5,5/1/2020,{PERFORMANCE#Negative};{OTHERS};,positive,1
23,tất_cả mọi thứ đều tốt hết màn_hình đẹp máy chạy êm_pin sạc nhanh màu mặt lưng đẹp nhưng chỉ_tiết ở phần thiết_kế phải chi_loa ngoài được đặt ở bên hông thay_vì đặt ở cạnh dưới như_vầy tay cứ bị đè lên loa khi sử_dụng í cứ lo chính bản_thân đè nhiều quá sẽ làm loa hư thêm 1 cái nhỏ_xíu xiu mới mua hôm_qua được giảm 500000 đ nay lên xem tuột xuống đươc giảm hẳn 1000000 đ tức ghê,4,17/01/2020,{SCREEN#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Neutral};{PRICE#Negative};{GENERAL#Positive};,positive,1
24,điện_thoại thiết_kế sang_trọng cameraa chụp ảnh rất tốt pin dùng tốt_định máy dùng mượt không bị đơ,5,19/08/2018,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};,positive,1
25,máy màn_hình lớn nhận_diện khuôn_mặt nhanh trong được trời sáng cấu_hình tạm tốt cho các tác_vụ cơ_bản pin trâu nhân_viên thế_giới di_động nhiệt_tình còn ctkm tặng tai nghe thì thế_giới di_động chưa làm tốt ra mua máy thì chi_nhánh tai nghe không có hàng phải đợi 1015 ngày thế_giới di_động rút kinh_nghiệm về các ctkm kiểu như_vậy,5,4/3/2019,{SCREEN#Positive};{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Neutral};{SER&ACC#Neutral};,positive,1
26,pin trâu giá rẻ cấu_hình ngon_mượt mà máy chơi game rất tốt nhân_viên tư_vấn nhiệt_tình,5,7 ngày trước,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Positive};{SER&ACC#Positive};,positive,1
27,không nên mua không tương_xứng trong cùng phân_khúc chụp ảnh kém mờ được mỗi pin trâu,1,15/03/2020,{CAMERA#Negative};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Negative};,negative,0
28,cập_nhật lại tốt nhưng camera xấu xấu kém hy_vọng cập_nhật lại camera tốt hơn cho bản sau,3,14/06/2019,{CAMERA#Negative};{PERFORMANCE#Positive};,neutral,2
29,mới dùng được tầm nửa tháng thấy khá là tốt mượt chơi game mức_độ mặc_định cũng tốt_pin được lâu sạc nhanh,5,18/02/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,positive,1
30,mình mua máy samsung a20s được 4 ngày rồi nói_chung máy xài tốt trong tầm giá pin trâu nếu không chơi game thì xài được 2 đến 3 ngày còn chơi game như liên_quân thì tầm 1 ngày chụp hình đẹp máy rất mượt chỉ có lâu_lâu cảm_biến vân tay_không được nhạy_ngón tay hơi ướt_xíu là máy không nhận được vân tay luôn không có ốp lưng nên xài hơi bị xót_xíu mình làm trong môi_trường chăn_nuôi bụi cám này kia nhiều,5,24/10/2019,{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Negative};{OTHERS};,positive,1
31,tại_sao thì thoảng tôi mở máy thì phải đợi 510 s thì màn_hình mới lên nó làm tôi thấy khó_chịu còn lại thì tốt,4,7/5/2020,{PERFORMANCE#Negative};{GENERAL#Positive};,positive,1
